,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-14-04,105.89,45.5,0,5,127.0,88.0,22.0,24.0
2019-01-14-05,104.0,50.5,1,4,118.0,89.0,26.0,24.0
2019-01-14-06,105.44,56.5,1,8,113.0,88.0,27.0,25.0
2019-01-14-07,106.83,56.5,4,7,91.0,85.0,24.0,23.0
2019-01-14-08,111.89,60.5,3,5,69.0,86.0,24.0,21.0
2019-01-14-09,119.5,64.0,7,8,69.0,94.0,26.0,17.0
2019-01-14-10,129.94,58.5,11,10,92.0,93.0,27.0,13.0
2019-01-14-11,138.89,53.0,6,10,109.0,84.0,27.0,10.0
2019-01-14-12,148.5,50.0,13,7,128.0,71.0,27.0,9.0
2019-01-14-13,147.72,52.5,17,6,155.0,57.0,26.0,12.0
2019-01-14-14,148.39,53.5,24,5,167.0,45.0,29.0,10.0
2019-01-14-15,149.11,63.5,19,5,186.0,40.0,32.0,14.0
2019-01-14-16,153.56,74.0,8,7,195.0,39.0,35.0,18.0
2019-01-14-17,158.89,77.5,11,6,200.0,43.0,39.0,23.0
2019-01-14-18,158.28,90.5,5,6,146.0,48.0,41.0,27.0
2019-01-14-19,150.41,86.0,6,5,55.0,57.0,43.0,30.0
2019-01-14-20,142.61,80.0,0,7,27.0,61.0,46.0,34.0
2019-01-14-21,136.22,74.0,8,10,10.0,64.0,43.0,36.0
2019-01-14-22,136.0,68.5,4,4,11.0,60.0,42.0,39.0
2019-01-14-23,135.94,62.0,9,4,10.0,61.0,41.0,40.0
2019-01-15-00,143.47,59.0,20,2,9.0,64.0,40.0,36.0
2019-01-15-01,142.82,59.5,24,2,9.0,68.0,38.0,31.0
2019-01-15-02,142.71,56.5,20,2,5.0,71.0,40.0,32.0
2019-01-15-03,143.18,56.0,18,6,4.0,74.0,36.0,31.0
2019-01-15-04,139.76,50.0,19,8,6.0,78.0,36.0,30.0
2019-01-15-05,138.0,48.0,15,9,5.0,80.0,34.0,28.0
2019-01-15-06,137.18,53.0,10,12,6.0,85.0,34.0,26.0
2019-01-15-07,132.18,61.5,12,8,4.0,92.0,33.0,26.0
2019-01-15-08,130.12,77.0,12,7,7.0,92.0,32.0,25.0
2019-01-15-09,120.88,77.0,11,7,6.0,88.0,34.0,29.0
2019-01-15-10,107.29,62.5,8,8,6.0,94.0,34.0,34.0
2019-01-15-11,101.76,69.5,7,7,6.0,103.0,32.0,38.0
2019-01-15-12,105.89,48.0,1,-999,8.0,110.0,30.0,33.0
2019-01-15-13,92.44,28.5,0,7,6.0,135.0,36.0,28.0
2019-01-15-14,70.41,35.5,7,6,6.0,158.0,33.0,28.0
2019-01-15-15,42.44,40.5,11,5,6.0,169.0,32.0,27.0
2019-01-15-16,18.5,28.0,13,5,7.0,155.0,32.0,29.0
2019-01-15-17,13.28,38.0,8,3,7.0,161.0,35.0,33.0
2019-01-15-18,12.41,57.0,5,3,10.0,185.0,27.0,41.0
2019-01-15-19,13.28,36.5,7,3,10.0,162.0,20.0,42.0
2019-01-15-20,14.94,26.0,2,5,14.0,152.0,12.0,37.0
2019-01-15-21,15.53,19.0,-1,3,18.0,90.0,8.0,36.0
2019-01-15-22,16.72,17.5,0,5,19.0,38.0,7.0,24.0
2019-01-15-23,16.67,13.5,-4,5,20.0,28.0,8.0,15.0
2019-01-16-00,16.72,11.5,-2,4,24.0,23.0,7.0,11.0
2019-01-16-01,17.28,15.5,4,7,29.0,18.0,7.0,10.0
2019-01-16-02,18.5,13.5,0,11,36.0,16.0,9.0,7.0
2019-01-16-03,18.17,15.5,1,11,37.0,15.0,9.0,6.0
2019-01-16-04,18.39,14.5,0,8,38.0,23.0,9.0,6.0
2019-01-16-05,17.39,12.5,1,9,39.0,16.0,9.0,7.0
2019-01-16-06,16.33,11.5,-1,8,38.0,15.0,10.0,10.0
2019-01-16-07,15.61,14.5,2,9,32.0,18.0,10.0,12.0
2019-01-16-08,17.78,14.5,3,7,34.0,20.0,9.0,13.0
2019-01-16-09,18.17,14.5,2,10,32.0,25.0,11.0,14.0
2019-01-16-10,20.33,15.5,1,12,32.0,28.0,12.0,13.0
